	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105
37	2775	253	184	3	153	1	312	8	96	19	26	134	14	223	14	167	129	50	4	44	0	54	71	22	13	26	1	4	56	13	127	35	30	83	26	56	34	19	10	91	55	19	37	35	0	30	22	32	29	16	24	33	60	41	9	58	22	8	27	9	43	42	0	19	91	0	4	0	26	35	0	0	28	0	6	12	95	13	56	5	12	5	6	1	28	7	1	43	4	1	21	0	40	20	25	44	0	37	2	7	60	25	19	10	8
38	2606	261	46	411	107	31	60	102	132	143	98	47	215	146	63	36	1	87	0	61	14	47	48	50	0	116	62	0	15	18	37	104	49	21	9	127	0	36	1	0	36	41	0	75	28	63	34	52	83	24	6	32	33	2	8	4	28	2	47	27	1	8	0	11	22	32	29	6	18	4	15	17	3	54	2	17	8	17	20	60	4	3	90	5	55	28	0	9	2	15	17	8	7	2	50	45	0	39	10	15	25	4	18	10	10
39	2697	512	189	59	98	68	220	209	0	221	77	121	80	0	26	57	41	55	97	54	3	39	22	21	11	1	69	5	69	0	31	0	22	0	20	10	48	0	20	35	33	0	57	5	18	29	105	22	35	43	42	43	7	63	1	37	0	36	9	6	10	2	98	20	32	22	18	27	35	65	31	20	61	37	3	26	3	33	27	51	3	72	4	15	23	9	7	24	8	9	4	1	10	0	6	45	13	3	5	49	2	4	4	0	8
40	2631	21	201	244	226	106	89	123	124	311	243	23	45	175	192	54	0	39	24	32	35	116	103	26	61	92	28	107	12	9	9	15	43	29	0	7	47	12	2	17	2	25	42	2	11	22	25	51	5	9	12	27	21	1	24	49	32	32	5	3	54	30	26	13	9	12	51	8	17	14	12	3	10	0	24	28	0	8	29	26	9	41	0	0	19	0	13	0	4	19	0	0	37	0	18	40	26	5	2	24	1	33	44	12	53
41	2773	391	269	284	3	70	49	122	29	266	22	12	0	101	98	1	29	52	46	0	83	30	9	37	26	43	2	192	37	20	27	36	46	39	33	90	56	4	14	141	12	5	77	37	96	3	1	25	41	3	30	32	21	10	15	9	21	56	29	5	17	4	11	5	1	3	21	26	24	22	10	40	27	18	19	0	19	43	51	59	2	6	1	0	32	0	8	8	5	60	45	27	7	25	4	10	0	5	16	13	37	3	0	0	3
42	2832	434	25	185	262	57	152	66	113	142	77	146	72	19	101	15	0	64	46	45	93	15	40	38	14	51	7	113	39	38	47	0	32	31	37	21	1	14	64	53	10	0	4	0	46	2	1	43	14	4	38	121	14	4	0	39	10	35	22	26	3	0	30	23	1	24	8	32	64	3	40	1	20	26	0	5	10	19	0	1	2	7	24	0	2	54	46	5	88	0	6	8	0	13	4	10	11	4	26	38	30	95	3	22	5
43	2635	399	300	95	166	136	133	151	2	203	24	1	87	81	8	195	11	135	11	4	17	69	92	46	3	22	3	32	42	6	17	39	11	50	10	8	105	35	41	59	72	34	11	103	59	35	20	9	40	53	20	49	45	21	71	6	42	50	20	17	6	1	26	10	59	15	69	25	0	1	5	11	0	25	19	24	2	0	43	1	13	3	7	8	12	0	0	4	6	0	24	10	6	2	11	1	0	12	33	0	2	0	18	45	27
44	2776	226	313	68	110	275	46	292	0	166	2	27	82	41	0	60	0	26	14	78	49	10	127	1	43	139	21	12	37	50	51	40	17	19	46	11	103	10	4	28	0	38	8	9	9	20	55	5	44	0	67	0	60	20	33	48	20	28	39	60	28	5	10	11	8	0	5	8	0	24	10	65	58	7	20	4	9	18	27	3	0	2	41	1	173	1	18	1	15	30	16	9	4	24	76	13	23	0	11	0	16	2	9	49	10
45	2771	138	130	196	1	46	0	267	322	171	146	109	29	195	109	49	82	36	15	29	64	12	11	20	29	16	0	43	41	9	33	12	50	76	17	19	36	5	100	2	126	70	25	0	47	45	14	38	25	9	0	25	20	0	5	20	25	27	27	9	0	25	3	1	4	0	40	28	33	20	26	2	56	88	26	34	34	5	0	12	25	6	0	1	47	1	15	10	20	94	24	2	5	4	18	0	50	46	1	19	2	1	6	20	0
46	2585	489	3	292	13	256	159	62	118	75	83	128	0	36	62	52	0	45	22	17	42	38	0	13	150	0	80	126	29	2	35	42	68	44	24	26	39	9	77	2	31	25	33	105	42	15	2	11	3	12	10	28	38	19	62	55	7	9	20	58	157	5	14	5	53	17	8	38	1	10	4	60	1	47	42	2	31	7	0	6	2	8	0	5	8	41	43	3	0	13	8	25	3	47	1	12	39	60	47	0	0	7	24	10	5
47	2657	353	378	266	2	123	83	55	0	62	244	228	147	11	0	51	84	19	30	5	33	36	48	40	23	2	87	70	85	51	54	6	45	29	74	0	28	32	2	19	5	56	21	31	34	8	83	4	3	29	2	4	42	33	33	38	21	24	17	10	43	60	19	5	9	9	15	6	38	25	8	27	91	1	24	19	1	14	0	11	52	6	0	3	20	2	23	1	15	1	9	0	57	9	1	10	0	50	4	37	1	18	10	0	33
48	2576	387	145	307	54	262	73	112	111	52	147	50	154	53	196	59	1	0	26	95	37	14	9	40	39	51	48	21	38	36	20	36	64	54	72	38	43	4	57	21	5	3	32	9	11	0	26	22	101	4	3	22	14	12	47	0	38	22	15	0	3	1	25	20	2	15	2	6	8	1	42	6	45	7	77	9	23	0	0	7	10	24	35	23	0	43	1	98	28	1	49	5	0	2	1	0	8	58	26	8	61	37	11	4	27
49	2775	253	298	164	18	195	36	179	180	67	72	31	15	56	5	14	0	0	6	121	24	0	22	185	110	61	18	25	16	37	51	9	36	108	14	1	36	61	21	30	0	6	5	29	7	37	30	21	34	0	0	0	1	9	23	26	9	62	28	69	34	7	93	2	40	0	20	3	22	43	8	9	14	3	5	43	26	43	12	66	41	18	111	13	23	42	0	8	37	30	1	2	0	3	17	16	4	8	96	25	50	24	11	23	5
50	2482	526	155	195	90	107	172	37	173	49	1	106	161	8	0	145	56	36	55	30	182	12	12	0	23	18	20	82	63	23	19	48	0	29	38	4	3	7	30	22	0	75	46	43	1	43	0	8	18	31	55	13	33	30	8	28	6	33	33	1	10	12	62	0	1	0	10	0	7	37	27	21	60	0	4	3	38	25	39	10	8	14	26	24	2	34	18	31	8	173	9	59	24	0	20	2	25	72	50	8	49	1	3	10	87
51	2615	327	187	293	342	176	112	39	31	54	113	1	57	68	41	126	49	49	62	25	18	57	16	17	3	89	15	120	11	31	87	10	6	9	6	28	0	21	19	1	68	0	13	44	3	4	0	11	191	45	46	0	44	11	100	7	16	1	1	2	28	58	20	76	8	26	29	19	32	3	26	8	4	1	4	18	18	25	30	58	7	50	18	59	47	14	0	0	5	4	14	4	33	31	0	0	12	0	10	0	24	33	5	18	30
52	2541	496	345	185	165	148	53	95	158	31	9	237	14	142	20	25	33	50	113	54	51	68	39	17	16	35	45	5	2	34	0	13	36	51	24	53	102	20	61	11	2	73	0	61	0	86	4	23	25	0	1	63	8	40	0	29	29	24	4	20	25	1	13	29	7	34	5	34	25	1	12	90	44	5	22	1	17	1	0	10	12	22	49	24	0	14	61	16	40	12	0	24	33	3	3	9	6	15	27	0	0	7	1	4	0
53	2461	503	145	113	9	75	314	145	117	40	97	17	114	160	32	30	103	7	5	25	226	39	42	55	6	117	12	6	0	77	84	92	0	19	22	49	4	89	2	41	44	35	1	0	63	0	11	103	51	35	30	8	5	3	21	27	10	44	66	28	6	8	21	52	1	13	6	4	12	0	9	9	33	16	27	51	32	1	19	61	2	23	4	5	21	18	7	26	32	37	0	0	0	26	14	2	5	24	24	38	40	3	16	0	20
54	2650	123	343	378	199	17	96	166	62	14	26	13	50	98	5	52	53	42	101	75	31	106	183	18	34	34	52	47	0	72	106	58	100	0	22	51	27	0	165	0	10	44	54	6	64	13	39	55	3	15	0	23	20	8	9	20	34	7	16	17	3	7	21	0	29	0	45	5	3	11	29	44	25	0	5	10	31	60	3	4	11	26	52	1	5	8	4	0	15	12	64	13	11	47	4	16	2	0	8	23	16	19	25	4	0
