"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"sap_2","","S-layer protein sap","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8100","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8131","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8151","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8152","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8160","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8163","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8164","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8168","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8169","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8175","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8177","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8179","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8180","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8189","","Soluble epoxide hydrolase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8223","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8224","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"azoB","","NAD(P)H azoreductase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8233","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8236","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"sigV","","RNA polymerase sigma factor SigV","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8248","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8249","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8251","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8256","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8258","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8259","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8260","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8263","","putative hydrolase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
