	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56
22	5201	1931	1008	1629	1749	19	706	332	291	530	96	568	334	103	337	1568	576	1054	475	473	108	464	573	58	39	339	420	3	65	536	1419	33	292	402	809	259	226	137	253	100	51	348	399	184	189	332	69	42	69	240	23	22	148	143	393	4
23	5711	1425	1488	584	464	637	910	112	697	396	79	249	72	535	272	13	640	385	109	399	1419	314	36	26	290	268	499	178	104	305	299	288	182	1402	166	860	93	216	138	588	257	1398	33	4	273	780	70	468	340	2	892	302	273	49	176	6
24	5382	2509	819	1105	705	717	100	50	101	1247	595	480	272	405	367	1669	1167	324	6	109	55	299	195	291	217	873	444	478	1153	421	216	156	485	516	105	259	51	52	15	235	82	743	350	385	87	162	69	445	18	47	4	204	247	326	177	180
25	5712	1148	1199	939	291	1179	492	368	1677	1245	544	484	425	64	174	264	68	865	289	326	392	587	4	247	130	316	1468	110	251	285	198	290	261	184	86	392	258	71	230	51	32	24	421	15	254	203	90	1316	328	516	177	264	5	883	66	13
26	6824	1893	544	2091	860	953	102	615	605	443	44	435	680	110	345	275	74	403	76	353	171	422	613	1231	176	331	492	244	7	219	92	787	232	366	450	196	18	259	5	32	221	81	379	970	320	48	69	217	3	307	774	99	90	234	151	140
27	5541	2023	1137	171	774	873	823	502	441	475	1593	450	1678	1254	96	247	339	338	99	590	385	426	210	202	55	278	164	143	279	84	15	54	291	3	476	271	361	254	291	69	210	6	6	148	194	105	302	20	903	90	56	732	771	503	139	231
28	5415	2122	1055	674	565	835	198	434	558	807	69	163	298	411	648	10	910	412	271	33	43	290	35	160	71	1696	105	193	312	94	59	52	231	460	247	505	279	1164	742	243	284	49	350	1341	180	932	214	504	247	323	356	3	89	15	22	393
29	5547	877	1713	999	613	1939	393	796	595	109	714	681	95	40	436	361	344	445	482	327	351	207	58	291	104	330	300	432	371	86	169	27	302	135	1126	1333	457	52	235	236	31	411	739	88	145	199	335	963	90	22	234	4	769	13	15	5
30	5651	1278	1314	517	1102	1111	668	1526	724	585	115	701	254	1507	620	290	315	453	23	66	429	330	228	426	275	358	337	24	268	2	291	128	189	106	270	354	364	79	235	326	895	181	70	32	149	4	317	394	728	42	106	1293	78	15	22	6
31	5673	1459	1486	979	873	552	1143	81	1540	265	561	53	271	382	463	6	715	1493	1575	511	441	37	377	188	349	431	3	533	289	54	34	211	191	938	92	247	86	215	66	54	250	7	791	249	330	15	232	73	223	69	157	357	179	104	139	79
32	5948	900	1908	1525	1862	785	724	390	121	553	1188	294	657	253	536	451	1210	523	573	350	515	59	295	907	216	72	276	238	890	300	33	170	107	11	153	3	232	357	2	281	486	259	72	101	9	239	18	22	233	15	79	228	104	32	178	228
33	5170	1191	1566	639	701	1735	346	915	571	281	855	326	33	452	703	410	46	432	97	234	201	488	1338	17	902	9	232	1411	346	282	185	297	56	83	187	51	279	284	6	55	238	801	193	211	277	69	414	105	13	2	288	141	351	303	397	956
34	5895	1993	788	1049	856	154	511	95	6	510	512	490	108	37	373	498	252	851	490	678	552	6	370	35	1322	288	203	363	53	850	14	256	224	411	5	50	1407	206	220	327	183	100	182	308	26	220	389	431	165	361	49	411	299	982	498	259
35	5170	2389	2197	1224	948	371	719	571	1472	253	599	645	470	284	62	317	294	378	222	381	359	105	19	33	220	314	170	8	1434	977	85	305	26	61	219	313	473	28	3	389	265	344	793	23	209	105	53	184	41	233	239	240	393	328	199	15
36	5711	2296	1766	445	843	435	320	389	489	363	279	705	335	89	650	467	327	304	407	530	42	334	622	503	191	107	35	222	4	1034	73	8	309	102	7	83	403	233	246	35	1060	261	15	275	158	236	69	376	237	399	107	281	1301	778	724	151
37	5853	1386	1443	821	410	784	1883	831	298	14	785	500	287	568	1287	292	19	340	348	608	435	791	73	338	296	275	293	58	481	190	144	301	202	268	34	230	193	160	240	986	446	141	1359	3	23	2	185	81	232	140	88	200	94	104	4	324
38	5686	1684	144	386	549	1043	610	1014	1114	712	475	1528	610	1550	529	417	307	116	319	58	379	12	1057	35	427	235	205	110	95	245	170	541	145	3	401	244	171	114	479	180	306	151	163	103	44	1330	2	82	315	6	324	288	264	391	69	234
39	5444	163	2203	1100	664	112	985	678	718	75	734	644	1074	606	333	515	19	386	1496	238	5	319	269	1018	174	1556	34	192	326	361	241	53	211	371	188	397	183	217	223	796	33	7	285	14	195	216	275	79	159	141	256	308	49	394	288	151
40	5527	1336	1570	1224	1040	1877	534	565	395	1253	1683	639	636	229	245	822	472	101	77	269	22	498	304	106	1099	216	284	407	377	73	159	7	263	3	85	285	352	426	285	24	245	255	43	397	20	79	231	143	266	5	32	402	21	15	49	199
